Question,Answer,Image Path
How far is the black ottoman from the nearest sofa?,The black ottoman is positioned directly in front of the nearest sofa.,/home/rodionfa/3d_box_data/ml-hypersim/data/ai_001_008/images/scene_cam_00_final_preview/frame.0031.color.jpg
What is located behind the TV stand in the room?,There are shelves with books and a picture frame located behind the TV stand.,/home/rodionfa/3d_box_data/ml-hypersim/data/ai_001_008/images/scene_cam_00_final_preview/frame.0031.color.jpg
How does the distance between the two armchairs compare to the distance between the armchair and the coffee table?,The distance between the two armchairs is greater than the distance between the armchair and the coffee table.,/home/rodionfa/3d_box_data/ml-hypersim/data/ai_001_008/images/scene_cam_00_final_preview/frame.0031.color.jpg
What is the size comparison between the coffee table and the black ottoman?,The coffee table is smaller than the black ottoman in size.,/home/rodionfa/3d_box_data/ml-hypersim/data/ai_001_008/images/scene_cam_00_final_preview/frame.0031.color.jpg
Where is the coffee table positioned relative to the sofa?  ,The coffee table is positioned to the right of the sofa.,/home/rodionfa/3d_box_data/ml-hypersim/data/ai_001_008/images/scene_cam_00_final_preview/frame.0000.color.jpg
How far is the armchair from the coffee table?  ,"The armchair is positioned a short distance away from the coffee table, closer than the sofa.",/home/rodionfa/3d_box_data/ml-hypersim/data/ai_001_008/images/scene_cam_00_final_preview/frame.0000.color.jpg
What is the relative size of the black ottoman compared to the sofa?  ,The black ottoman is smaller in size compared to the sofa.,/home/rodionfa/3d_box_data/ml-hypersim/data/ai_001_008/images/scene_cam_00_final_preview/frame.0000.color.jpg
Where is the television in relation to the shelves?  ,The television is located underneath the shelves on the wall.,/home/rodionfa/3d_box_data/ml-hypersim/data/ai_001_008/images/scene_cam_00_final_preview/frame.0000.color.jpg
How many windows are visible in the image?  ,There are two windows visible in the image.,/home/rodionfa/3d_box_data/ml-hypersim/data/ai_001_008/images/scene_cam_00_final_preview/frame.0000.color.jpg
Where is the coffee table positioned relative to the sofa?,The coffee table is positioned in front of the sofa.,/home/rodionfa/3d_box_data/ml-hypersim/data/ai_001_008/images/scene_cam_00_final_preview/frame.0031.color.jpg
How far is the armchair from the wall with the TV?,"The armchair is positioned relatively close to the wall with the TV, but the exact distance isn't specified.",/home/rodionfa/3d_box_data/ml-hypersim/data/ai_001_008/images/scene_cam_00_final_preview/frame.0031.color.jpg
What is the size comparison between the black ottoman and the white armchair?,The black ottoman appears to be larger in length compared to the width of the white armchair.,/home/rodionfa/3d_box_data/ml-hypersim/data/ai_001_008/images/scene_cam_00_final_preview/frame.0031.color.jpg
Where is the bookshelf located in relation to the TV unit?,The bookshelf is positioned above the TV unit on the wall.,/home/rodionfa/3d_box_data/ml-hypersim/data/ai_001_008/images/scene_cam_00_final_preview/frame.0031.color.jpg
Are the two armchairs positioned close to each other or farther apart?,The two armchairs are positioned close to each other.,/home/rodionfa/3d_box_data/ml-hypersim/data/ai_001_008/images/scene_cam_00_final_preview/frame.0031.color.jpg
Where is the coffee table positioned relative to the sofa?,The coffee table is positioned in front of the sofa.,/home/rodionfa/3d_box_data/ml-hypersim/data/ai_001_008/images/scene_cam_00_final_preview/frame.0014.color.jpg
How far is the armchair from the coffee table?,"The armchair is positioned to the right of the coffee table, at a close distance.",/home/rodionfa/3d_box_data/ml-hypersim/data/ai_001_008/images/scene_cam_00_final_preview/frame.0014.color.jpg
What is the size difference between the sofa and the armchair?,The sofa is larger than the armchair.,/home/rodionfa/3d_box_data/ml-hypersim/data/ai_001_008/images/scene_cam_00_final_preview/frame.0014.color.jpg
Where is the television located in relation to the coffee table?,The television is positioned on the wall behind the coffee table.,/home/rodionfa/3d_box_data/ml-hypersim/data/ai_001_008/images/scene_cam_00_final_preview/frame.0014.color.jpg
How many objects are between the coffee table and the television?,There are no objects directly between the coffee table and the television; the path is clear.,/home/rodionfa/3d_box_data/ml-hypersim/data/ai_001_008/images/scene_cam_00_final_preview/frame.0014.color.jpg
Where is the chair positioned relative to the sofa?,The chair is positioned to the left of the sofa.,/home/rodionfa/3d_box_data/ml-hypersim/data/ai_001_008/images/scene_cam_00_final_preview/frame.0090.color.jpg
What is the distance between the chair and the sofa?,"The chair and the sofa are relatively close to each other, positioned at a small distance apart.",/home/rodionfa/3d_box_data/ml-hypersim/data/ai_001_008/images/scene_cam_00_final_preview/frame.0090.color.jpg
How does the size of the chair compare to the size of the sofa?,The chair appears smaller in size compared to the sofa.,/home/rodionfa/3d_box_data/ml-hypersim/data/ai_001_008/images/scene_cam_00_final_preview/frame.0090.color.jpg
Where is the light source in relation to the furniture?,"The light source is positioned behind the sofa, creating a bright area on the floor.",/home/rodionfa/3d_box_data/ml-hypersim/data/ai_001_008/images/scene_cam_00_final_preview/frame.0090.color.jpg
Is there any object directly in front of the sofa?,"No, there are no objects directly in front of the sofa; the area is clear.",/home/rodionfa/3d_box_data/ml-hypersim/data/ai_001_008/images/scene_cam_00_final_preview/frame.0090.color.jpg
Where is the coffee table positioned relative to the sofa?  ,The coffee table is positioned to the right of the sofa.,/home/rodionfa/3d_box_data/ml-hypersim/data/ai_001_008/images/scene_cam_00_final_preview/frame.0084.color.jpg
What is the distance between the sofa and the wall?  ,The sofa is placed a short distance away from the wall.,/home/rodionfa/3d_box_data/ml-hypersim/data/ai_001_008/images/scene_cam_00_final_preview/frame.0084.color.jpg
How does the size of the lighting area compare to the sofa?  ,The lighting area is larger than the sofa.,/home/rodionfa/3d_box_data/ml-hypersim/data/ai_001_008/images/scene_cam_00_final_preview/frame.0084.color.jpg
Where is the window located in relation to the floor?  ,"The window is located above the floor level, allowing light to stream in.",/home/rodionfa/3d_box_data/ml-hypersim/data/ai_001_008/images/scene_cam_00_final_preview/frame.0084.color.jpg
Which object appears to be closest to the light source?  ,The coffee table appears to be closest to the light source.,/home/rodionfa/3d_box_data/ml-hypersim/data/ai_001_008/images/scene_cam_00_final_preview/frame.0084.color.jpg
Where is the coffee table positioned relative to the sofa?  ,The coffee table is positioned in front of the sofa.,/home/rodionfa/3d_box_data/ml-hypersim/data/ai_001_008/images/scene_cam_00_final_preview/frame.0030.color.jpg
How far is the black ottoman from the white sofa?  ,The black ottoman is situated to the left of the white sofa.,/home/rodionfa/3d_box_data/ml-hypersim/data/ai_001_008/images/scene_cam_00_final_preview/frame.0030.color.jpg
Which side of the room is the TV located on?  ,The TV is located on the right side of the room.,/home/rodionfa/3d_box_data/ml-hypersim/data/ai_001_008/images/scene_cam_00_final_preview/frame.0030.color.jpg
Where is the plant positioned in relation to the window?  ,"The plant is located on the windowsill, directly above the shelf.",/home/rodionfa/3d_box_data/ml-hypersim/data/ai_001_008/images/scene_cam_00_final_preview/frame.0030.color.jpg
What is the size comparison between the glass coffee table and the black ottoman?  ,The glass coffee table appears smaller than the black ottoman.,/home/rodionfa/3d_box_data/ml-hypersim/data/ai_001_008/images/scene_cam_00_final_preview/frame.0030.color.jpg
Where is the armchair positioned relative to the floor?,The armchair is positioned above the floor.,/home/rodionfa/3d_box_data/ml-hypersim/data/ai_001_008/images/scene_cam_00_final_preview/frame.0089.color.jpg
What is the relative size of the armchair compared to the coffee table?,The armchair appears to be larger than the coffee table.,/home/rodionfa/3d_box_data/ml-hypersim/data/ai_001_008/images/scene_cam_00_final_preview/frame.0089.color.jpg
How far is the armchair from the nearest wall?,The armchair is positioned relatively close to the nearest wall.,/home/rodionfa/3d_box_data/ml-hypersim/data/ai_001_008/images/scene_cam_00_final_preview/frame.0089.color.jpg
What is the distance between the armchair and the object next to it?,"The armchair is adjacent to the black object, with a small space between them.",/home/rodionfa/3d_box_data/ml-hypersim/data/ai_001_008/images/scene_cam_00_final_preview/frame.0089.color.jpg
Where does the light source seem to come from in relation to the furniture?,The light source is casting light on the wall opposite the sofa and the armchair.,/home/rodionfa/3d_box_data/ml-hypersim/data/ai_001_008/images/scene_cam_00_final_preview/frame.0089.color.jpg
Where is the coffee table positioned relative to the sofa?,The coffee table is positioned in front of the sofa.,/home/rodionfa/3d_box_data/ml-hypersim/data/ai_001_008/images/scene_cam_00_final_preview/frame.0033.color.jpg
How far is the black ottoman from the white armchair?,The black ottoman is positioned to the left of the white armchair.,/home/rodionfa/3d_box_data/ml-hypersim/data/ai_001_008/images/scene_cam_00_final_preview/frame.0033.color.jpg
What is the relative position of the shelves on the wall to the television?,The shelves are positioned above the television.,/home/rodionfa/3d_box_data/ml-hypersim/data/ai_001_008/images/scene_cam_00_final_preview/frame.0033.color.jpg
Where are the windows located in relation to the sofa?,The windows are positioned behind the sofa.,/home/rodionfa/3d_box_data/ml-hypersim/data/ai_001_008/images/scene_cam_00_final_preview/frame.0033.color.jpg
How many feet are between the coffee table and the black ottoman?,"The coffee table and the black ottoman are relatively close together, likely just a few feet apart.",/home/rodionfa/3d_box_data/ml-hypersim/data/ai_001_008/images/scene_cam_00_final_preview/frame.0033.color.jpg
Where is the coffee table positioned relative to the sofa?  ,The coffee table is positioned to the front of the sofa.,/home/rodionfa/3d_box_data/ml-hypersim/data/ai_001_009/images/scene_cam_00_final_preview/frame.0030.color.jpg
How far apart are the two armchairs?  ,"The two armchairs are positioned close to each other, with a small distance in between.",/home/rodionfa/3d_box_data/ml-hypersim/data/ai_001_009/images/scene_cam_00_final_preview/frame.0030.color.jpg
What is the size comparison between the coffee table and the armchairs?  ,The coffee table is smaller in size compared to the armchairs.,/home/rodionfa/3d_box_data/ml-hypersim/data/ai_001_009/images/scene_cam_00_final_preview/frame.0030.color.jpg
Where are the pendant lights located in relation to the seating area?  ,The pendant lights are positioned above the seating area.,/home/rodionfa/3d_box_data/ml-hypersim/data/ai_001_009/images/scene_cam_00_final_preview/frame.0030.color.jpg
How does the window placement affect the view from the sofa?  ,"The windows are located behind the sofa, providing a clear view of the outside.",/home/rodionfa/3d_box_data/ml-hypersim/data/ai_001_009/images/scene_cam_00_final_preview/frame.0030.color.jpg
Where is the coffee table positioned relative to the sofa?,The coffee table is positioned in front of the sofa.,/home/rodionfa/3d_box_data/ml-hypersim/data/ai_001_009/images/scene_cam_00_final_preview/frame.0057.color.jpg
How far apart is the armchair from the coffee table?,The armchair is positioned a short distance away from the coffee table.,/home/rodionfa/3d_box_data/ml-hypersim/data/ai_001_009/images/scene_cam_00_final_preview/frame.0057.color.jpg
What is the relative size of the armchair compared to the coffee table?,The armchair is larger than the coffee table.,/home/rodionfa/3d_box_data/ml-hypersim/data/ai_001_009/images/scene_cam_00_final_preview/frame.0057.color.jpg
Where is the second sofa located in relation to the first sofa?,The second sofa is positioned to the left of the first sofa.,/home/rodionfa/3d_box_data/ml-hypersim/data/ai_001_009/images/scene_cam_00_final_preview/frame.0057.color.jpg
How many windows are visible in the image?,There are three large windows visible in the image.,/home/rodionfa/3d_box_data/ml-hypersim/data/ai_001_009/images/scene_cam_00_final_preview/frame.0057.color.jpg
Where is the coffee table positioned relative to the sofa?  ,The coffee table is positioned in front of the sofa.,/home/rodionfa/3d_box_data/ml-hypersim/data/ai_001_009/images/scene_cam_00_final_preview/frame.0095.color.jpg
How far apart are the two red armchairs from each other?  ,"The two red armchairs are positioned close to each other, with minimal distance in between.",/home/rodionfa/3d_box_data/ml-hypersim/data/ai_001_009/images/scene_cam_00_final_preview/frame.0095.color.jpg
What is the height of the windows compared to the furniture?  ,"The windows are positioned high above the furniture, allowing for a clear view outside.",/home/rodionfa/3d_box_data/ml-hypersim/data/ai_001_009/images/scene_cam_00_final_preview/frame.0095.color.jpg
Where are the pendant lights located in relation to the seating area?  ,The pendant lights are hanging above the coffee table and the seating area.,/home/rodionfa/3d_box_data/ml-hypersim/data/ai_001_009/images/scene_cam_00_final_preview/frame.0095.color.jpg
Is there any object between the sofa and the windows?  ,"No, there are no objects between the sofa and the windows; the space is clear.",/home/rodionfa/3d_box_data/ml-hypersim/data/ai_001_009/images/scene_cam_00_final_preview/frame.0095.color.jpg
Where is the coffee table positioned relative to the sofa?,The coffee table is positioned in front of the sofa.,/home/rodionfa/3d_box_data/ml-hypersim/data/ai_001_009/images/scene_cam_00_final_preview/frame.0010.color.jpg
What is the approximate distance between the two armchairs in the room?,"The two armchairs are positioned fairly close to each other, about a foot apart.",/home/rodionfa/3d_box_data/ml-hypersim/data/ai_001_009/images/scene_cam_00_final_preview/frame.0010.color.jpg
How far is the nearest window from the coffee table?,"The nearest window is located just behind the coffee table, very close.",/home/rodionfa/3d_box_data/ml-hypersim/data/ai_001_009/images/scene_cam_00_final_preview/frame.0010.color.jpg
What size is the sofa compared to the armchairs?,"The sofa is larger than the armchairs, with a longer length.",/home/rodionfa/3d_box_data/ml-hypersim/data/ai_001_009/images/scene_cam_00_final_preview/frame.0010.color.jpg
Where are the light fixtures located in relation to the seating area?,The light fixtures are positioned directly above the seating area.,/home/rodionfa/3d_box_data/ml-hypersim/data/ai_001_009/images/scene_cam_00_final_preview/frame.0010.color.jpg
Where is the coffee table positioned relative to the sofa?,The coffee table is positioned in front of the sofa.,/home/rodionfa/3d_box_data/ml-hypersim/data/ai_001_009/images/scene_cam_00_final_preview/frame.0020.color.jpg
How far apart are the two red chairs from each other?,The two red chairs are positioned close to each other.,/home/rodionfa/3d_box_data/ml-hypersim/data/ai_001_009/images/scene_cam_00_final_preview/frame.0020.color.jpg
What is the size of the coffee table compared to the red chairs?,The coffee table is smaller than the red chairs.,/home/rodionfa/3d_box_data/ml-hypersim/data/ai_001_009/images/scene_cam_00_final_preview/frame.0020.color.jpg
Where is the window located in relation to the seating area?,The window is behind the seating area.,/home/rodionfa/3d_box_data/ml-hypersim/data/ai_001_009/images/scene_cam_00_final_preview/frame.0020.color.jpg
How high are the ceiling lights compared to the furniture?,"The ceiling lights are positioned above the furniture, at a higher elevation.",/home/rodionfa/3d_box_data/ml-hypersim/data/ai_001_009/images/scene_cam_00_final_preview/frame.0020.color.jpg
Where is the coffee table positioned relative to the sofa?  ,The coffee table is positioned in front of the sofa.,/home/rodionfa/3d_box_data/ml-hypersim/data/ai_001_009/images/scene_cam_00_final_preview/frame.0041.color.jpg
What is the approximate size difference between the coffee table and the red sofa?  ,The coffee table is smaller in size compared to the red sofa.,/home/rodionfa/3d_box_data/ml-hypersim/data/ai_001_009/images/scene_cam_00_final_preview/frame.0041.color.jpg
How far is the window from the seating area?  ,"The window is positioned behind the seating area, but the exact distance cannot be determined from the image.",/home/rodionfa/3d_box_data/ml-hypersim/data/ai_001_009/images/scene_cam_00_final_preview/frame.0041.color.jpg
Where are the decorative lights located in relation to the sofa?  ,The decorative lights are positioned along the wall behind the sofa.,/home/rodionfa/3d_box_data/ml-hypersim/data/ai_001_009/images/scene_cam_00_final_preview/frame.0041.color.jpg
How does the height of the sofa compare to the height of the coffee table?  ,The sofa is taller than the coffee table.,/home/rodionfa/3d_box_data/ml-hypersim/data/ai_001_009/images/scene_cam_00_final_preview/frame.0041.color.jpg
Where is the coffee table positioned relative to the sofa?  ,The coffee table is positioned in front of the sofa.,/home/rodionfa/3d_box_data/ml-hypersim/data/ai_001_009/images/scene_cam_00_final_preview/frame.0054.color.jpg
What is the distance between the two armchairs?  ,"The armchairs are positioned closely together, likely just a couple of feet apart.",/home/rodionfa/3d_box_data/ml-hypersim/data/ai_001_009/images/scene_cam_00_final_preview/frame.0054.color.jpg
How does the size of the coffee table compare to the armchairs?  ,The coffee table appears to be larger in width than the armchairs.,/home/rodionfa/3d_box_data/ml-hypersim/data/ai_001_009/images/scene_cam_00_final_preview/frame.0054.color.jpg
Where are the windows located in relation to the seating area?  ,"The windows are positioned behind the seating area, allowing natural light to enter.",/home/rodionfa/3d_box_data/ml-hypersim/data/ai_001_009/images/scene_cam_00_final_preview/frame.0054.color.jpg
What is the position of the armchairs relative to the coffee table?  ,The armchairs are positioned to the sides of the coffee table.,/home/rodionfa/3d_box_data/ml-hypersim/data/ai_001_009/images/scene_cam_00_final_preview/frame.0054.color.jpg
Where is the coffee table positioned relative to the sofa?  ,The coffee table is positioned in front of the sofa.,/home/rodionfa/3d_box_data/ml-hypersim/data/ai_001_009/images/scene_cam_00_final_preview/frame.0097.color.jpg
How many chairs are there in the image?  ,There are two chairs in the image.,/home/rodionfa/3d_box_data/ml-hypersim/data/ai_001_009/images/scene_cam_00_final_preview/frame.0097.color.jpg
What is the distance between the two chairs?  ,"The two chairs are positioned close to each other, approximately one chair's width apart.",/home/rodionfa/3d_box_data/ml-hypersim/data/ai_001_009/images/scene_cam_00_final_preview/frame.0097.color.jpg
"Which object is closer to the window, the sofa or the coffee table?  ",The sofa is closer to the window than the coffee table.,/home/rodionfa/3d_box_data/ml-hypersim/data/ai_001_009/images/scene_cam_00_final_preview/frame.0097.color.jpg
Are the chairs larger than the coffee table?  ,"Yes, the chairs appear to be larger than the coffee table.",/home/rodionfa/3d_box_data/ml-hypersim/data/ai_001_009/images/scene_cam_00_final_preview/frame.0097.color.jpg
